"symptomes","maladie"
"maux de tête, toux sèche, fièvre, frissons","Grippe"
"toux sèche, difficultés respiratoires, douleurs musculaires, maux de tête","Covid-19"
"douleurs musculaires, transpiration abondante, frissons, douleurs abdominales, nausées","Paludisme"
"nausée, fatigue, maux d’estomac, perte d’appétit, diarrhée","Gastro-entérite"
"maux de gorge, maux de tête, nez qui coule","Rhume"
"nez qui coule, maux de gorge, frissons, courbatures, toux","Grippe"
"maux de tête, nausée, douleurs musculaires","Paludisme"
"fièvre, fatigue, toux sèche","Covid-19"
"vomissements, diarrhée, fièvre légère","Gastro-entérite"
"gorge très douloureuse, fièvre élevée, gorge rouge","Angine"
"maux de tête, gorge irritée, fatigue légère","Rhume"
"fièvre, frissons, maux de tête","Grippe"
"gorge irritée, fatigue légère, éternuements","Rhume"
"nez bouché, toux sèche, frissons, maux de gorge, toux","Grippe"
"nez bouché, maux de gorge, fatigue légère, maux de tête, toux légère","Rhume"
"maux de tête, maux de gorge, toux, courbatures, fatigue","Grippe"
"maux de ventre, nausée, maux d’estomac, vomissements","Gastro-entérite"
"nausée, diarrhée, maux de ventre, maux d’estomac","Gastro-entérite"
"frissons, transpiration abondante, nausées, fièvre élevée","Paludisme"
"nez qui coule, maux de tête, maux de gorge, fatigue légère","Rhume"
"toux légère, maux de tête, maux de gorge, nez bouché, nez qui coule","Rhume"
"toux sèche, perte d’odorat, maux de tête, douleurs musculaires","Covid-19"
"courbatures, maux de tête, toux, fatigue","Grippe"
"transpiration abondante, douleurs abdominales, fatigue, nausées","Paludisme"
"difficulté à avaler, ganglions enflés, fièvre élevée","Angine"
"fièvre modérée, difficultés respiratoires, fatigue","Covid-19"
"maux de gorge, frissons, fièvre, fatigue","Grippe"
"amygdales gonflées, fièvre, douleur à la déglutition","Angine"
"courbatures, nez qui coule, frissons, maux de gorge","Grippe"
"nez bouché, éternuements, fatigue légère, maux de tête, toux légère","Rhume"
"nez qui coule, éternuements, gorge irritée, fatigue légère","Rhume"
"fatigue, fièvre modérée, fièvre, maux de tête, perte d’odorat","Covid-19"
"nez bouché, nez qui coule, fatigue légère, toux légère, gorge irritée","Rhume"
"nausées, fièvre élevée, maux de tête, nausée, douleurs musculaires","Paludisme"
"fièvre légère, fatigue, maux de ventre","Gastro-entérite"
"gorge irritée, nez bouché, nez qui coule","Rhume"
"nausée, fièvre élevée, douleurs musculaires, douleurs abdominales, frissons","Paludisme"
"fièvre légère, crampes abdominales, perte d’appétit","Gastro-entérite"
"transpiration abondante, nausée, frissons, maux de tête, douleurs abdominales","Paludisme"
"nausée, crampes abdominales, diarrhée","Gastro-entérite"
"éternuements, toux légère, maux de tête, nez bouché, fatigue légère","Rhume"
"fatigue, transpiration abondante, fièvre élevée, nausées, douleurs musculaires","Paludisme"
"douleur à la déglutition, difficulté à avaler, amygdales gonflées","Angine"
"fièvre modérée, fatigue, fièvre","Covid-19"
"crampes abdominales, fatigue, maux d’estomac","Gastro-entérite"
"maux de tête, nausée, transpiration abondante","Paludisme"
"fièvre légère, vomissements, maux d’estomac, perte d’appétit, crampes abdominales","Gastro-entérite"
"fièvre modérée, fièvre, douleurs musculaires, maux de tête","Covid-19"
"ganglions enflés, gorge rouge, amygdales gonflées","Angine"
"toux sèche, fièvre, nez bouché, frissons, nez qui coule","Grippe"
"gorge rouge, gorge très douloureuse, douleur à la déglutition","Angine"
"fièvre légère, perte d’appétit, fatigue, vomissements","Gastro-entérite"
"gorge irritée, maux de tête, éternuements","Rhume"
"maux de tête, douleurs musculaires, frissons","Paludisme"
"maux de tête, fièvre, perte du goût, douleurs musculaires","Covid-19"
"toux sèche, nez bouché, toux","Grippe"
"maux d’estomac, crampes abdominales, vomissements","Gastro-entérite"
"nez qui coule, maux de tête, toux légère, fatigue légère, éternuements","Rhume"
"maux d’estomac, crampes abdominales, perte d’appétit, fièvre légère, maux de ventre","Gastro-entérite"
"maux de tête, nez bouché, nez qui coule, maux de gorge","Grippe"
"fatigue, maux d’estomac, vomissements, fièvre légère","Gastro-entérite"
"amygdales gonflées, difficulté à avaler, gorge très douloureuse","Angine"
"fatigue, nausées, fièvre élevée, douleurs musculaires, transpiration abondante","Paludisme"
"maux de tête, courbatures, toux, frissons","Grippe"
"maux d’estomac, fatigue, fièvre légère","Gastro-entérite"
"difficulté à avaler, fièvre élevée, gorge très douloureuse, douleur à la déglutition, gorge rouge","Angine"
"frissons, fièvre, nez qui coule","Grippe"
"courbatures, nez bouché, nez qui coule","Grippe"
"fièvre légère, maux de ventre, crampes abdominales","Gastro-entérite"
"maux de ventre, perte d’appétit, diarrhée","Gastro-entérite"
"gorge rouge, fièvre, amygdales gonflées, gorge très douloureuse, fièvre élevée","Angine"
"difficulté à avaler, gorge rouge, amygdales gonflées","Angine"
"toux légère, fatigue légère, éternuements","Rhume"
"maux de gorge, courbatures, maux de tête, fièvre","Grippe"
"nez bouché, éternuements, fatigue légère, toux légère","Rhume"
"nez qui coule, toux, maux de gorge, courbatures","Grippe"
"toux, fièvre, maux de tête, toux sèche, nez qui coule","Grippe"
"douleurs musculaires, fièvre modérée, fatigue, maux de tête","Covid-19"
"courbatures, nez qui coule, toux, fatigue, toux sèche","Grippe"
